company_id,status,exchange,ticker,symbol,stored_name,gurufocus_name,detail,gurufocus_url
3547,OK,NASDAQ,HBAN,HBAN,HUNTINGTON BANCSHARES INC,Huntington Bancshares Inc,name matches,https://www.gurufocus.com/stock/HBAN/summary
3548,OK,NYSE,NRG,NRG,NRG ENERGY INC,NRG Energy Inc,name matches,https://www.gurufocus.com/stock/NRG/summary
3549,OK,NASDAQ,GEHC,GEHC,GE HEALTHCARE TECHNOLOGIES INC,GE HealthCare Technologies Inc,name matches,https://www.gurufocus.com/stock/GEHC/summary
3550,OK,NYSE,HPE,HPE,Hewlett Packard Enterprise Co,Hewlett Packard Enterprise Co,name matches,https://www.gurufocus.com/stock/HPE/summary
3551,OK,NASDAQ,NBIS,NBIS,Nebius Group NV,Nebius Group NV,name matches,https://www.gurufocus.com/stock/NBIS/summary
3552,OK,NYSE,IR,IR,INGERSOLL RAND INC,Ingersoll Rand Inc,name matches,https://www.gurufocus.com/stock/IR/summary
3553,OK,NASDAQ,FISV,FISV,FISERV INC,Fiserv Inc,name matches,https://www.gurufocus.com/stock/FISV/summary
3554,OK,XKRX,012450,XKRX:012450,Hanwha Aerospace Co Ltd,Hanwha Aerospace Co Ltd,name matches,https://www.gurufocus.com/stock/XKRX:012450/summary
3555,OK,TSE,6701,TSE:6701,NEC CORP,NEC Corp,name matches,https://www.gurufocus.com/stock/TSE:6701/summary
3556,OK,TSE,6367,TSE:6367,DAIKIN INDUSTRIES LTD,Daikin Industries Ltd,name matches,https://www.gurufocus.com/stock/TSE:6367/summary
3557,OK,NASDAQ,FANG,FANG,DIAMONDBACK ENERGY INC,Diamondback Energy Inc,name matches,https://www.gurufocus.com/stock/FANG/summary
3558,OK,OSTO,ERIC B,OSTO:ERIC B,Telefonaktiebolaget L M Ericsson,Telefonaktiebolaget L M Ericsson,name matches,https://www.gurufocus.com/stock/OSTO:ERIC B/summary
3559,OK,TSE,8750,TSE:8750,DAIICHI LIFE GROUP INC,Daiichi Life Group Inc,name matches,https://www.gurufocus.com/stock/TSE:8750/summary
3560,OK,NASDAQ,KMB,KMB,KIMBERLY CLARK CORP,Kimberly-Clark Corp,name matches,https://www.gurufocus.com/stock/KMB/summary
3561,OK,NYSE,JBL,JBL,JABIL INC,Jabil Inc,name matches,https://www.gurufocus.com/stock/JBL/summary
3562,OK,HKSE,09888,HKSE:09888,Baidu Inc,Baidu Inc,name matches,https://www.gurufocus.com/stock/HKSE:09888/summary
3563,OK,HKSE,09961,HKSE:09961,TRIP.COM GROUP LTD,Trip.com Group Ltd,name matches,https://www.gurufocus.com/stock/HKSE:09961/summary
3564,OK,NYSE,ADM,ADM,Archer-Daniels-Midland Co,Archer-Daniels-Midland Co,name matches,https://www.gurufocus.com/stock/ADM/summary
3565,OK,NASDAQ,KDP,KDP,KEURIG DR PEPPER INC,Keurig Dr Pepper Inc,name matches,https://www.gurufocus.com/stock/KDP/summary
3566,OK,TSE,8630,TSE:8630,SOMPO HOLDINGS INC,Sompo Holdings Inc,name matches,https://www.gurufocus.com/stock/TSE:8630/summary
3567,NOT_FOUND,NSE,MM,NSE:MM,MAHINDRA AND MAHINDRA LTD,,404 stock not found,https://www.gurufocus.com/stock/NSE:MM/summary
3568,OK,TSE,4568,TSE:4568,Daiichi Sankyo Co Ltd,Daiichi Sankyo Co Ltd,name matches,https://www.gurufocus.com/stock/TSE:4568/summary
3569,OK,XKRX,034020,XKRX:034020,Doosan Enerbility Co Ltd,Doosan Enerbility Co Ltd,name matches,https://www.gurufocus.com/stock/XKRX:034020/summary
3570,OK,XBRU,KBC,XBRU:KBC,KBC Groupe NV,KBC Groupe NV,name matches,https://www.gurufocus.com/stock/XBRU:KBC/summary
3572,OK,NYSE,KVUE,KVUE,KENVUE INC,Kenvue Inc,name matches,https://www.gurufocus.com/stock/KVUE/summary
3573,OK,TSE,8725,TSE:8725,MSAD INSURANCE GROUP HOLDINGS INC,MS&AD Insurance Group Holdings Inc,name matches,https://www.gurufocus.com/stock/TSE:8725/summary
3574,OK,TSE,7182,TSE:7182,Japan Post Bank Co Ltd,Japan Post Bank Co Ltd,name matches,https://www.gurufocus.com/stock/TSE:7182/summary
3575,OK,NYSE,HAL,HAL,Halliburton Co,Halliburton Co,name matches,https://www.gurufocus.com/stock/HAL/summary
3576,OK,NYSE,TPR,TPR,TAPESTRY INC,Tapestry Inc,name matches,https://www.gurufocus.com/stock/TPR/summary
3577,OK,NASDAQ,INSM,INSM,INSMED INC,Insmed Inc,name matches,https://www.gurufocus.com/stock/INSM/summary
3578,OK,NYSE,CCL,CCL,Carnival Corporation Ltd,Carnival Corporation Ltd,name matches,https://www.gurufocus.com/stock/CCL/summary
3579,OK,NYSE,XYL,XYL,XYLEM INC,Xylem Inc,name matches,https://www.gurufocus.com/stock/XYL/summary
3580,RESTRICTED,LSE,IMB,LSE:IMB,IMPERIAL BRANDS PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:IMB/summary
3581,OK,NYSE,IQV,IQV,IQVIA HOLDINGS INC,IQVIA Holdings Inc,name matches,https://www.gurufocus.com/stock/IQV/summary
3582,OK,OSTO,SWED A,OSTO:SWED A,Swedbank AB,Swedbank AB,name matches,https://www.gurufocus.com/stock/OSTO:SWED A/summary
3583,OK,BKK,DELTA,BKK:DELTA,Delta Electronics (Thailand) PCL,Delta Electronics (Thailand) PCL,name matches,https://www.gurufocus.com/stock/BKK:DELTA/summary
3584,OK,TPE,2345,TPE:2345,ACCTON TECHNOLOGY CORP,Accton Technology Corp,name matches,https://www.gurufocus.com/stock/TPE:2345/summary
3585,OK,NASDAQ,EXPE,EXPE,EXPEDIA GROUP INC,Expedia Group Inc,name matches,https://www.gurufocus.com/stock/EXPE/summary
3586,OK,NYSE,EXR,EXR,Extra Space Storage Inc,Extra Space Storage Inc,name matches,https://www.gurufocus.com/stock/EXR/summary
3587,OK,OCSE,VWS,OCSE:VWS,Vestas Wind Systems AS,Vestas Wind Systems AS,name matches,https://www.gurufocus.com/stock/OCSE:VWS/summary
3588,OK,OSTO,SEB A,OSTO:SEB A,Skandinaviska Enskilda Banken AB,Skandinaviska Enskilda Banken AB,name matches,https://www.gurufocus.com/stock/OSTO:SEB A/summary
3589,OK,NYSE,VICI,VICI,VICI Properties Inc,VICI Properties Inc,name matches,https://www.gurufocus.com/stock/VICI/summary
3590,OK,NYSE,DTE,DTE,DTE Energy Co,DTE Energy Co,name matches,https://www.gurufocus.com/stock/DTE/summary
3591,OK,XTER,CBK,XTER:CBK,COMMERZBANK AG,Commerzbank AG,name matches,https://www.gurufocus.com/stock/XTER:CBK/summary
3592,OK,XPAR,HO,XPAR:HO,Thales,Thales,name matches,https://www.gurufocus.com/stock/XPAR:HO/summary
3593,OK,XMAD,REP,XMAD:REP,REPSOL SA,Repsol SA,name matches,https://www.gurufocus.com/stock/XMAD:REP/summary
3594,OK,NYSE,AEE,AEE,AMEREN CORP,Ameren Corp,name matches,https://www.gurufocus.com/stock/AEE/summary
3595,OK,TSE,7267,TSE:7267,Honda Motor Co Ltd,Honda Motor Co Ltd,name matches,https://www.gurufocus.com/stock/TSE:7267/summary
